id,insert_ns
0,12503000
1,4416000
2,3328000
3,2903000
4,3319000
5,3295000
6,4268000
7,3369000
8,3583000
9,2961000
10,3518000
11,3270000
12,3108000
13,3529000
14,3336000
15,2907000
16,5035000
17,3828000
18,3156000
19,4024000
20,3238000
21,2630000
22,2988000
23,2539000
24,3563000
25,4350000
26,2716000
27,2369000
28,2742000
29,2408000
30,3055000
31,2723000
32,3561000
33,3074000
34,2365000
35,2782000
36,2688000
37,2635000
38,3503000
39,2587000
40,3356000
41,2972000
42,2376000
43,3278000
44,3225000
45,2487000
46,3148000
47,3098000
48,4614000
49,3710000
50,4277000
51,4390000
52,4123000
53,2702000
54,2923000
55,3035000
56,2900000
57,2766000
58,2431000
59,2614000
60,2756000
61,4078000
62,3395000
63,3331000
64,3028000
65,3791000
66,3414000
67,4082000
68,3046000
69,2303000
70,3057000
71,2695000
72,3052000
73,2427000
74,2602000
75,2691000
76,2603000
77,2749000
78,2996000
79,2745000
80,2789000
81,2425000
82,3228000
83,2085000
84,2558000
85,2824000
86,2595000
87,2803000
88,2852000
89,2272000
90,2695000
91,2462000
92,2657000
93,3056000
94,2824000
95,2694000
96,2638000
97,2506000
98,2277000
99,2830000
100,2150000
101,2678000
102,2821000
103,2689000
104,3042000
105,3441000
106,3560000
107,3087000
108,3019000
109,3546000
110,3967000
111,3653000
112,5124000
113,3145000
114,3417000
115,4591000
116,3955000
117,2662000
118,2591000
119,3991000
120,2667000
121,3143000
122,3505000
123,2762000
124,3768000
125,2988000
126,2758000
127,3356000
128,2749000
129,2701000
130,3385000
131,2694000
132,3456000
133,3407000
134,3463000
135,3938000
136,2777000
137,4910000
138,3703000
139,4480000
140,2868000
141,3671000
142,3392000
143,2538000
144,3314000
145,3130000
146,3414000
147,3802000
148,2596000
149,2553000
150,2716000
151,3322000
152,3255000
153,3158000
154,3251000
155,2448000
156,3849000
157,4133000
158,2978000
159,3295000
160,2789000
161,3150000
162,3146000
163,3176000
164,2549000
165,2899000
166,2646000
167,2729000
168,3482000
169,3621000
170,3459000
171,3668000
172,3671000
173,3032000
174,3287000
175,3075000
176,2939000
177,2372000
178,2980000
179,2473000
180,3335000
181,3147000
182,2988000
183,3002000
184,2717000
185,2555000
186,3047000
187,2801000
188,3722000
189,4029000
190,3323000
191,3128000
192,2879000
193,2761000
194,2719000
195,2628000
196,3386000
197,3039000
198,3506000
199,2615000
200,3448000
201,3572000
202,2875000
203,3317000
204,4042000
205,3176000
206,3602000
207,3696000
208,2861000
209,3981000
210,3429000
211,4641000
212,2779000
213,3809000
214,3400000
215,2832000
216,3372000
217,3936000
218,4740000
219,3303000
220,4065000
221,3394000
222,3758000
223,3556000
224,2597000
225,4153000
226,3126000
227,3400000
228,3487000
229,2769000
230,3739000
231,3948000
232,4535000
233,2703000
234,3183000
235,3620000
236,2721000
237,3764000
238,3301000
239,3101000
240,3949000
241,2771000
242,3499000
243,3505000
244,3682000
245,4076000
246,2365000
247,3532000
248,3062000
249,4107000
250,3550000
251,3120000
252,3689000
253,2768000
254,2681000
255,2468000
256,2409000
257,3745000
258,3037000
259,2468000
260,3234000
261,2667000
262,2635000
263,2881000
264,2511000
265,3081000
266,3119000
267,3360000
268,2616000
269,3493000
270,2294000
271,3347000
272,3079000
273,2733000
274,2561000
275,3147000
276,2693000
277,4375000
278,3494000
279,2825000
280,3283000
281,2285000
282,3025000
283,3122000
284,2629000
285,2285000
286,3148000
287,2996000
288,2734000
289,2273000
290,2517000
291,2449000
292,2766000
293,2230000
294,2467000
295,2535000
296,3470000
297,2350000
298,2647000
299,2588000
300,2712000
301,2286000
302,3050000
303,2909000
304,2521000
305,2815000
306,2700000
307,2812000
308,3162000
309,2465000
310,2560000
311,2772000
312,2570000
313,4094000
314,2827000
315,2600000
316,2847000
317,2288000
318,2896000
319,2603000
320,3113000
321,2392000
322,3126000
323,2666000
324,2662000
325,2612000
326,3036000
327,2474000
328,2607000
329,2612000
330,2441000
331,2703000
332,2344000
333,2572000
334,2543000
335,2782000
336,2559000
337,2487000
338,2727000
339,2678000
340,2273000
341,2660000
342,5203000
343,3234000
344,3563000
345,2603000
346,2754000
347,3127000
348,2641000
349,2601000
350,2686000
351,4511000
352,3608000
353,2734000
354,2706000
355,3146000
356,2865000
357,3199000
358,2755000
359,2635000
360,2602000
361,2984000
362,2811000
363,2361000
364,2888000
365,3057000
366,3318000
367,2747000
368,3105000
369,2676000
370,3511000
371,2925000
372,3420000
373,4588000
374,2876000
375,3828000
376,3064000
377,2817000
378,3873000
379,3570000
380,3131000
381,2795000
382,2815000
383,3188000
384,3480000
385,3231000
386,3754000
387,3132000
388,3196000
389,3159000
390,2527000
391,3040000
392,3427000
393,2980000
394,3584000
395,3146000
396,2753000
397,3344000
398,2844000
399,3258000
400,3593000
401,2800000
402,3663000
403,2789000
404,2562000
405,2430000
406,2730000
407,2180000
408,2518000
409,2397000
410,2780000
411,2209000
412,3082000
413,2258000
414,2426000
415,2926000
416,2559000
417,2260000
418,2493000
419,2627000
420,2601000
421,2342000
422,2286000
423,2323000
424,2816000
425,2653000
426,2635000
427,2714000
428,3690000
429,2762000
430,3189000
431,2618000
432,2459000
433,2482000
434,3095000
435,2826000
436,4369000
437,2924000
438,2779000
439,3881000
440,2616000
441,2959000
442,2230000
443,2676000
444,2447000
445,2959000
446,3219000
447,2944000
448,2850000
449,3310000
450,2663000
451,2955000
452,2900000
453,3678000
454,3764000
455,4078000
456,3343000
457,3944000
458,3368000
459,3849000
460,2970000
461,2835000
462,3583000
463,3369000
464,3866000
465,3565000
466,3689000
467,3405000
468,3594000
469,3482000
470,3096000
471,2474000
472,2748000
473,2842000
474,2660000
475,3156000
476,2671000
477,2389000
478,3002000
479,2884000
480,2846000
481,3379000
482,3518000
483,4698000
484,3164000
485,4544000
486,3881000
487,4079000
488,3605000
489,3828000
490,3561000
491,3372000
492,4148000
493,3293000
494,3557000
495,3613000
496,3697000
497,3171000
498,3035000
499,2954000
500,2676000
501,2398000
502,2972000
503,2595000
504,4128000
505,2661000
506,3056000
507,3036000
508,2510000
509,2700000
510,2683000
511,3604000
512,3245000
513,3566000
514,3273000
515,3649000
516,3094000
517,2987000
518,2905000
519,3106000
520,2462000
521,3066000
522,2393000
523,2746000
524,3216000
525,3072000
526,2940000
527,2910000
528,2966000
529,2552000
530,3177000
531,3206000
532,3065000
533,2645000
534,2436000
535,3109000
536,2880000
537,2130000
538,3209000
539,3212000
540,2436000
541,3699000
542,3476000
543,2571000
544,3808000
545,3304000
546,3428000
547,2742000
548,2766000
549,3812000
550,2108000
551,2491000
552,3130000
553,2840000
554,2625000
555,3690000
556,2603000
557,3142000
558,2612000
559,2935000
560,3779000
561,2885000
562,3616000
563,3385000
564,2614000
565,3052000
566,3052000
567,2919000
568,3308000
569,2767000
570,4792000
571,3634000
572,2949000
573,2454000
574,2685000
575,3187000
576,2623000
577,2843000
578,2807000
579,2960000
580,2663000
581,2898000
582,3031000
583,3307000
584,3223000
585,3251000
586,2622000
587,3179000
588,2766000
589,2304000
590,3226000
591,3250000
592,2623000
593,3103000
594,2709000
595,2355000
596,4074000
597,3342000
598,3408000
599,3464000
600,2995000
601,3924000
602,3031000
603,3416000
604,3583000
605,2886000
606,3136000
607,2536000
608,2442000
609,3898000
610,3095000
611,3674000
612,4104000
613,3032000
614,2523000
615,2577000
616,3092000
617,3199000
618,2441000
619,2635000
620,3434000
621,3106000
622,3260000
623,2802000
624,2339000
625,2951000
626,3034000
627,3770000
628,3333000
629,2643000
630,3093000
631,3020000
632,2842000
633,3417000
634,3030000
635,2864000
636,2836000
637,3426000
638,4211000
639,3694000
640,2419000
641,4134000
642,3348000
643,2806000
644,3196000
645,2775000
646,2985000
647,2941000
648,3006000
649,2637000
650,2990000
651,3059000
652,3211000
653,2916000
654,3198000
655,5286000
656,2980000
657,3554000
658,2581000
659,2742000
660,3159000
661,3668000
662,3039000
663,3021000
664,2837000
665,3358000
666,2750000
667,3662000
668,5682000
669,4957000
670,3926000
671,3482000
672,3045000
673,3410000
674,2751000
675,3152000
676,2837000
677,3398000
678,4378000
679,3813000
680,3471000
681,3046000
682,3006000
683,3081000
684,2861000
685,2796000
686,2633000
687,3552000
688,3280000
689,2850000
690,2599000
691,2628000
692,2771000
693,3137000
694,4345000
695,3257000
696,3484000
697,3069000
698,2952000
699,2551000
700,2712000
701,3819000
702,2608000
703,2902000
704,2622000
705,4218000
706,2955000
707,2622000
708,2165000
