id,insert_ns
0,4926000
1,5331000
2,3856000
3,4534000
4,3510000
5,4136000
6,4508000
7,4627000
8,3913000
9,3321000
10,3865000
11,3990000
12,3043000
13,2737000
14,3189000
15,3054000
16,3558000
17,3142000
18,3166000
19,3419000
20,3061000
21,2935000
22,3218000
23,2926000
24,3239000
25,3039000
26,2386000
27,3887000
28,3262000
29,3168000
30,3440000
31,3664000
32,3147000
33,2674000
34,2910000
35,3257000
36,2904000
37,2766000
38,2178000
39,2493000
40,2842000
41,2685000
42,3680000
43,3269000
44,2962000
45,2850000
46,2690000
47,3484000
48,2781000
49,2614000
50,2282000
51,2565000
52,2768000
53,2758000
54,2610000
55,2886000
56,2354000
57,3159000
58,2881000
59,2624000
60,2630000
61,3718000
62,3486000
63,3229000
64,3068000
65,3011000
66,4887000
67,4090000
68,3967000
69,4109000
70,4164000
71,3401000
72,3307000
73,3695000
74,3641000
75,3712000
76,3946000
77,3501000
78,3665000
79,3634000
80,4013000
81,3436000
82,3873000
83,4017000
84,4019000
85,4475000
86,3814000
87,4063000
88,3819000
89,3443000
90,2965000
91,3975000
92,3690000
93,4118000
94,2456000
95,4425000
96,3782000
97,4174000
98,3861000
99,3580000
100,4345000
101,3872000
102,3974000
103,3214000
104,2662000
105,3895000
106,3198000
107,3473000
108,4152000
109,4229000
110,3430000
111,3110000
112,2931000
113,3222000
114,3726000
115,3518000
116,2973000
117,2807000
118,3064000
119,4059000
120,3045000
121,2603000
122,2872000
123,3032000
124,2327000
125,2949000
126,2816000
127,3235000
128,2987000
129,2887000
130,3735000
131,2473000
132,2820000
133,2212000
134,2374000
135,2237000
136,2568000
137,2688000
138,2624000
139,3317000
140,2942000
141,2543000
142,2426000
143,2575000
144,3308000
145,2045000
146,3329000
147,2869000
148,2541000
149,2556000
150,2792000
151,3163000
152,4360000
153,3340000
154,3839000
155,3056000
156,2972000
157,3634000
158,4141000
159,3690000
160,3405000
161,3680000
162,3302000
163,3697000
164,4227000
165,2999000
166,3330000
167,2667000
168,2721000
169,2903000
170,2787000
171,3170000
172,2697000
173,2435000
174,2791000
175,2659000
176,2551000
177,3067000
178,2410000
179,2952000
180,2776000
181,2704000
182,2880000
183,2744000
184,2404000
185,3244000
186,3186000
187,2763000
188,2617000
189,2842000
190,2336000
191,3539000
192,3237000
193,2747000
194,2753000
195,2565000
196,2455000
197,2704000
198,2773000
199,2763000
200,2370000
201,2882000
202,2241000
203,2783000
204,3162000
205,2999000
206,2466000
207,3045000
208,2717000
209,2353000
210,2419000
211,2977000
212,2803000
213,2244000
214,2491000
215,2594000
216,2677000
217,5074000
218,4846000
219,3532000
220,3798000
221,3198000
222,2625000
223,2960000
224,3190000
225,3788000
226,4780000
227,3749000
228,3201000
229,2962000
230,2374000
231,3498000
232,2926000
233,3007000
234,2715000
235,2685000
236,3039000
237,2833000
238,3044000
239,2760000
240,2889000
241,2550000
242,2552000
243,2652000
244,2886000
245,2614000
246,3094000
247,2843000
248,2759000
249,2459000
250,2636000
251,2398000
252,3196000
253,2787000
254,2963000
255,2611000
256,2765000
257,2410000
258,2495000
259,2706000
260,2645000
261,2588000
262,3028000
263,2615000
264,2888000
265,2365000
266,2405000
267,2635000
268,3076000
269,2819000
270,2700000
271,2200000
272,2718000
273,2355000
274,2674000
275,3098000
276,2251000
277,2863000
278,2903000
279,2984000
280,3078000
281,2977000
282,2950000
283,2678000
284,2954000
285,2430000
286,2843000
287,2860000
288,2397000
289,2710000
290,2711000
291,2614000
292,2876000
293,2512000
294,2298000
295,2604000
296,3206000
297,2121000
298,2252000
299,2360000
300,2282000
301,2651000
302,2714000
303,2664000
304,2549000
305,2620000
306,2872000
307,2186000
308,2664000
309,2371000
310,2887000
311,2643000
312,2245000
313,2391000
314,2478000
315,2771000
316,2773000
317,2587000
318,2773000
319,2534000
320,2827000
321,2809000
322,2517000
323,2672000
324,2683000
325,3696000
326,3282000
327,3501000
328,4145000
329,3384000
330,3076000
331,3209000
332,3237000
333,2520000
334,3708000
335,2617000
336,2912000
337,2575000
338,2273000
339,3030000
340,2988000
341,3406000
342,2850000
343,2785000
344,3279000
345,2791000
346,3192000
347,3789000
348,3225000
349,3125000
350,3081000
351,3980000
352,3599000
353,3158000
354,3055000
355,3500000
356,3024000
357,3371000
358,2749000
359,3738000
360,3369000
361,3470000
362,3298000
363,2973000
364,3025000
365,2742000
366,2664000
367,2846000
368,2594000
369,3012000
370,2241000
371,2436000
372,3115000
373,2733000
374,2576000
375,2366000
376,2598000
377,4186000
378,3184000
379,2853000
380,4167000
381,3548000
382,3569000
383,3247000
384,3499000
385,2803000
386,2584000
387,2781000
388,3109000
389,2615000
390,3118000
391,3082000
392,3272000
393,2515000
394,2819000
395,2961000
396,2419000
397,2522000
398,2721000
399,2988000
400,5183000
401,3010000
402,2899000
403,2962000
404,2818000
405,2616000
406,2740000
407,2995000
408,2778000
409,2349000
410,2471000
411,2759000
412,2778000
413,2848000
414,2597000
415,3247000
416,4310000
417,3673000
418,2996000
419,2800000
420,3007000
421,3445000
422,4160000
423,3366000
424,3652000
425,3166000
426,3380000
427,3306000
428,3188000
429,3447000
430,3056000
