id,insert_ns
0,6776000
1,3005000
2,4034000
3,3109000
4,2820000
5,3475000
6,3275000
7,3081000
8,3359000
9,2926000
10,4282000
11,3258000
12,2901000
13,3260000
14,3731000
15,3779000
16,5012000
17,3919000
18,3576000
19,3001000
20,3162000
21,2969000
22,2777000
23,3702000
24,2685000
25,3019000
26,2980000
27,2934000
28,2667000
29,2583000
30,3531000
31,3517000
32,3124000
33,3470000
34,3397000
35,3059000
36,3894000
37,2893000
38,3408000
39,2360000
40,3711000
41,2712000
42,3979000
43,2864000
44,2629000
45,3648000
46,2480000
47,2837000
48,2440000
49,2526000
50,4660000
51,3130000
52,2436000
53,2759000
54,2553000
55,3076000
56,3607000
57,3026000
58,3574000
59,4482000
60,2799000
61,2235000
62,4049000
63,2679000
64,4053000
65,3292000
66,3391000
67,4734000
68,2748000
69,3033000
70,3178000
71,3199000
72,2748000
73,2777000
74,4447000
75,3071000
76,2675000
77,3463000
78,3570000
79,3595000
80,4241000
81,3637000
82,5161000
83,4418000
84,4000000
85,5567000
86,3187000
87,5668000
88,3929000
89,6728000
90,4101000
91,5316000
92,4271000
93,6407000
94,4537000
95,5269000
96,6025000
97,4310000
98,4995000
99,3574000
100,3724000
101,3309000
102,3326000
103,4168000
104,2904000
105,2748000
106,2864000
107,4005000
108,2996000
109,2949000
110,4601000
111,2998000
112,3105000
113,2496000
114,2861000
115,7829000
116,3126000
117,6919000
118,10318000
119,5535000
120,3335000
121,3759000
122,3149000
123,3759000
124,4265000
125,3209000
126,3291000
127,3448000
128,3968000
129,2715000
130,3315000
131,3320000
132,4690000
133,3140000
134,2639000
135,3096000
136,4376000
137,3214000
138,3818000
139,3888000
140,3853000
141,5116000
142,4163000
143,4600000
144,3196000
145,4049000
146,4413000
147,4037000
148,3048000
149,2987000
150,3621000
151,3359000
152,3159000
153,3310000
154,3143000
155,3044000
156,2533000
157,2904000
158,3962000
159,4732000
160,3281000
161,5017000
162,2726000
163,2814000
164,4448000
165,3650000
166,3459000
167,3184000
168,2582000
169,4391000
170,2961000
171,2333000
172,4664000
173,3173000
174,2549000
175,4031000
176,2790000
177,3081000
178,4157000
179,3219000
180,3567000
181,3357000
182,2996000
183,2545000
184,3809000
185,3620000
186,4518000
187,3220000
188,3138000
189,3391000
190,3634000
191,3425000
192,3175000
193,3126000
194,4075000
195,3234000
196,3615000
197,2876000
198,4333000
199,3389000
200,3758000
201,3696000
202,3919000
203,2860000
204,3800000
205,4763000
206,4128000
207,5456000
208,3357000
209,3188000
210,4344000
211,3647000
212,3373000
213,4320000
214,3842000
215,3321000
216,3198000
217,4045000
218,3077000
219,3079000
220,2964000
221,3601000
222,3172000
223,2923000
224,3405000
225,2778000
226,3767000
227,3364000
228,3429000
229,4096000
230,2571000
231,2655000
232,3050000
233,2955000
234,4184000
235,3135000
236,3488000
237,3057000
238,4161000
239,3228000
240,2934000
241,3260000
242,4020000
243,2642000
244,3314000
245,2688000
246,2787000
247,3825000
248,2423000
249,3584000
250,3389000
251,3545000
252,2954000
253,4158000
254,3106000
255,3348000
256,3385000
257,3097000
258,2849000
259,2827000
260,3013000
261,5171000
262,2481000
263,5767000
264,4598000
265,4338000
266,4637000
267,3071000
268,3197000
269,2839000
270,4247000
271,3815000
272,3718000
273,3949000
274,2968000
275,3136000
276,3067000
277,3216000
278,4745000
279,3000000
280,2726000
281,2833000
282,3494000
283,3341000
284,2485000
285,4145000
286,3131000
287,4371000
288,2959000
289,3368000
290,2321000
291,3053000
292,3221000
293,3356000
294,4074000
295,3033000
296,5235000
297,3248000
298,2970000
299,3210000
300,3185000
301,3059000
302,3085000
303,2638000
304,2710000
305,2523000
306,2916000
307,3877000
308,3037000
309,2851000
310,3319000
311,2700000
312,3451000
313,4055000
314,3056000
315,4658000
316,3359000
317,3336000
318,3544000
319,3872000
320,3383000
321,3130000
322,2886000
323,2650000
324,2812000
325,3957000
326,3088000
327,2677000
328,2721000
329,2591000
330,3184000
331,2895000
332,3956000
333,3246000
334,3231000
335,4574000
336,3244000
337,2951000
338,2783000
339,3102000
340,3025000
341,2739000
342,4281000
343,3282000
344,3064000
345,3051000
346,4364000
347,2485000
348,3691000
349,3804000
350,4097000
351,4722000
352,4590000
353,3852000
354,3420000
355,4163000
356,3447000
357,4170000
358,5155000
359,4984000
360,4433000
361,4228000
362,5084000
363,5172000
364,4221000
365,4953000
366,3888000
367,5077000
368,3148000
369,3411000
370,3211000
371,3162000
372,3275000
373,3385000
374,4063000
375,4705000
376,5069000
377,5398000
378,5421000
379,3273000
380,3086000
381,4254000
382,3914000
383,3703000
384,4538000
385,3547000
386,4141000
387,3628000
388,4202000
389,3326000
390,3390000
391,3048000
392,4627000
393,3117000
394,3502000
395,4878000
396,3415000
397,3902000
398,4841000
399,4576000
400,4093000
401,6219000
402,3856000
403,4424000
404,3718000
405,2736000
406,3510000
407,4539000
408,3847000
409,3347000
410,3044000
411,4740000
412,2771000
413,4543000
414,2934000
415,3797000
416,3609000
417,4678000
418,3997000
419,3169000
420,4033000
421,5055000
422,4405000
423,3066000
424,4120000
425,4143000
426,3860000
427,2733000
428,4826000
429,3063000
430,4239000
431,3276000
432,3581000
433,3243000
434,5038000
435,11024000
436,3232000
437,3206000
438,3142000
439,2902000
440,3436000
441,3565000
442,2567000
443,2993000
444,3126000
445,3137000
446,2925000
447,3251000
448,3210000
449,2846000
450,2882000
451,4139000
452,3357000
453,3475000
454,3486000
455,2670000
456,2947000
457,3704000
458,2976000
459,3197000
460,2750000
461,2606000
462,3653000
463,2862000
464,3260000
465,2406000
466,2510000
467,3735000
468,2903000
469,7335000
470,4056000
471,4223000
472,3111000
473,3674000
474,3133000
475,5737000
476,3305000
477,5385000
478,6798000
479,3569000
480,5161000
481,3560000
482,4057000
483,2877000
484,4397000
485,4948000
486,3957000
487,4948000
488,3902000
489,3953000
490,3897000
491,3317000
492,4179000
493,3094000
494,3761000
495,3279000
496,3156000
497,3184000
498,4850000
499,3476000
500,3443000
501,5300000
502,4969000
503,3616000
504,5380000
505,3399000
506,7787000
507,4462000
508,4570000
509,3719000
510,3424000
511,3258000
512,2869000
513,2786000
514,2826000
515,3348000
516,3101000
517,2842000
518,4185000
519,3244000
520,2762000
521,3148000
522,3104000
523,3160000
524,3072000
525,4087000
526,2685000
527,3178000
528,2981000
529,4599000
530,3542000
531,5549000
532,3539000
533,3080000
534,3019000
535,3779000
536,4175000
537,3557000
538,3981000
539,3384000
540,4095000
541,3289000
542,4097000
543,4639000
544,3596000
545,3284000
546,11578000
547,3179000
548,8886000
549,5885000
550,3290000
551,3340000
552,3162000
553,3354000
554,4146000
555,5184000
556,3264000
557,3316000
558,4200000
559,2934000
560,3346000
561,5112000
562,3699000
563,6966000
564,8358000
565,3313000
566,4467000
567,4492000
568,5092000
569,2990000
570,3346000
571,2726000
572,5230000
573,3189000
574,3792000
575,3928000
576,3316000
577,4058000
578,4193000
579,4743000
580,4371000
581,3484000
582,4115000
583,4826000
584,4505000
585,3083000
586,3006000
587,4042000
588,3095000
589,3129000
590,2721000
591,3729000
592,3388000
593,2917000
594,3156000
595,2994000
596,3467000
597,4868000
598,3591000
599,4064000
600,4250000
601,3205000
602,3410000
603,3321000
604,3657000
605,3291000
606,3433000
607,5060000
608,2739000
609,2711000
610,3508000
611,2806000
612,4165000
613,3008000
614,3450000
615,4093000
616,3717000
617,3524000
618,3697000
619,6900000
620,3637000
621,5120000
622,4474000
623,3657000
624,3760000
625,4584000
626,4386000
627,3458000
628,4333000
629,4967000
630,3896000
631,3743000
632,4378000
633,3142000
634,3515000
635,2964000
636,2398000
637,3925000
638,3476000
639,3458000
640,4939000
641,4509000
642,4475000
643,4676000
644,3030000
645,3588000
646,3262000
647,4161000
648,3825000
649,2967000
650,4579000
651,3515000
652,3830000
653,4978000
654,5504000
655,6994000
656,7614000
657,8394000
658,5312000
659,4020000
660,3377000
661,4875000
662,6880000
663,5885000
664,6074000
665,3539000
666,4308000
667,3238000
668,2876000
669,2917000
670,3893000
671,2273000
672,2596000
673,3090000
674,2959000
675,2698000
676,4928000
677,5038000
678,3432000
679,4514000
680,4815000
681,3518000
682,4034000
683,4346000
684,3220000
685,4745000
686,3278000
687,3658000
688,5080000
689,3098000
690,3428000
691,4055000
692,3860000
693,4434000
694,4110000
695,3877000
696,3051000
697,3092000
698,3000000
699,3033000
700,3910000
701,2981000
702,3249000
703,3835000
704,3363000
705,3880000
706,3031000
707,2820000
708,4419000
709,4402000
710,2803000
711,2886000
712,2322000
713,2688000
714,2647000
715,2467000
716,3082000
717,3088000
718,2990000
719,2417000
720,9818000
721,3119000
722,2708000
723,3577000
724,2808000
725,2394000
726,2616000
727,4855000
728,2566000
729,2649000
730,4026000
731,2711000
732,2620000
733,3096000
734,4006000
735,3953000
736,3113000
737,2783000
738,4179000
739,3114000
740,2623000
741,2513000
742,2776000
743,3484000
744,4731000
745,3644000
746,3518000
747,3862000
748,3541000
749,8489000
750,5435000
751,5646000
752,5740000
753,5421000
754,5284000
755,4516000
756,5419000
757,5801000
758,5718000
759,4176000
760,3992000
761,4225000
762,3500000
763,3997000
764,5107000
765,5282000
766,4442000
767,5185000
768,5192000
769,4333000
770,4985000
771,3999000
772,4374000
773,4536000
774,9239000
775,15197000
776,11727000
777,12384000
778,6463000
779,3764000
780,4578000
781,4544000
782,4288000
783,3781000
784,3092000
785,3910000
786,5212000
787,4650000
788,5351000
789,3777000
790,4160000
791,3921000
792,5371000
793,3538000
794,3792000
795,4612000
796,3111000
797,3918000
798,3908000
799,4109000
800,3428000
801,2699000
802,2708000
803,2914000
804,3385000
805,2824000
806,2825000
807,4478000
808,2859000
809,2981000
810,2743000
811,4775000
812,3426000
813,4181000
814,2610000
815,2972000
816,2917000
817,2768000
818,2450000
819,3288000
820,3429000
821,2639000
822,2642000
823,2831000
824,3567000
825,2836000
826,2663000
827,3204000
828,7554000
829,5692000
830,5664000
831,3851000
832,3560000
833,3171000
834,2394000
835,2481000
836,2779000
837,2469000
838,3074000
839,3032000
840,2890000
841,4046000
842,3227000
843,3102000
844,3140000
845,5245000
846,4590000
847,4312000
848,3193000
849,3104000
850,2968000
851,2376000
852,3376000
853,3092000
854,2162000
855,2886000
856,2604000
857,4329000
858,2483000
859,4006000
860,2964000
861,3087000
862,2768000
863,2984000
864,2388000
865,4083000
866,2583000
867,3624000
868,7423000
869,3926000
870,4392000
871,3092000
872,3236000
873,3208000
874,3040000
875,4531000
876,2742000
877,3375000
878,4043000
879,3709000
880,3863000
881,6131000
882,4551000
883,4751000
884,4330000
885,3140000
886,2853000
887,3631000
888,3227000
889,2878000
890,3910000
